word,token_id,snt_id,onset,offset,pos,log_freq
六歲,1,1,0.0492,0.39109,ADV,0
嗰,2,1,0.39109,0.55334,PRON,6.05444
年,3,1,0.55334,1.08714,NOUN,5.19296
我,4,1,1.08714,1.25518,PRON,7.92154
喺,5,1,1.25518,1.36488,ADP,6.1506
一,6,1,1.36488,1.47457,NUM,7.01751
本,7,1,1.47457,1.6026,NOUN,4.38203
書,8,1,1.6026,1.94739,NOUN,3.98898
入邊,9,1,1.94739,2.29219,ADV,3.17805
見,10,1,2.29219,2.41315,VERB,5.18178
過,11,1,2.41315,2.52936,PART,5.96615
幅,12,1,2.52936,2.66992,PROPN,1.38629
好,13,1,2.66992,2.89156,ADV,7.52672
得人驚,14,1,2.89156,3.12749,ADJ,1.79176
嘅,15,1,3.12749,3.36343,PART,7.47647
圖畫,16,1,3.36343,3.92,NOUN,0
嗰,1,2,0.06193,0.16357,PRON,6.05444
本,2,2,0.16357,0.26521,NOUN,4.38203
書,3,2,0.26521,0.48883,NOUN,3.98898
記載,4,2,0.48883,0.70696,VERB,0
真實,5,2,0.70696,1.13581,ADJ,1.09861
故事,6,2,1.13581,5.588,NOUN,1.09861
係,1,3,0.04059,0.19043,VERB,8.52119
關於,2,3,0.19043,0.47464,ADP,2.48491
原始,3,3,0.47464,0.87828,ADV,0.69315
森林,4,3,0.87828,1.32364,VERB,0
嘅,5,3,1.32364,7.193,PART,7.47647
幅,1,4,0.06002,0.23751,NOUN,1.38629
圖畫,2,4,0.23751,0.49904,NOUN,0
入面,3,4,0.49904,0.76679,ADV,0.69315
有,4,4,0.76679,0.9143,VERB,7.19744
條,5,4,0.9143,1.09854,NOUN,4.43082
蟒蛇,6,4,1.09854,1.8273,NOUN,0
張開,7,4,1.8273,2.11771,VERB,0
咗,8,4,2.11771,2.26265,PART,6.72863
血盤大口,9,4,2.26265,10.477,NOUN,0
吞,1,5,0.07311,0.28619,VERB,0
緊,2,5,0.28619,0.36151,ADJ,1.38629
一,3,5,0.36151,0.4891,NUM,7.01751
隻,4,5,0.4891,0.62536,NOUN,5.37528
野獸,5,5,0.62536,0.98546,NOUN,0
落,6,5,0.98546,1.20171,VERB,3.97029
肚,7,5,1.20171,12.013,VERB,1.09861
下,1,6,0.03998,0.19864,PART,5.97635
面,2,6,0.19864,0.34824,NOUN,2.48491
就,3,6,0.34824,0.43295,ADV,7.50824
係,4,6,0.43295,0.51767,VERB,8.52119
尼,5,6,0.51767,0.61805,PROPN,0
幅,6,6,0.61805,0.78845,NOUN,1.38629
圖畫,7,6,0.78845,1.12114,NOUN,0
嘅,8,6,1.12114,1.18034,PART,7.47647
摹本,9,6,1.18034,13.91,NOUN,0
本,1,7,0.09731,0.21322,NOUN,4.38203
書,2,7,0.21322,0.43844,NOUN,3.98898
入面,3,7,0.43844,0.66366,ADV,0.69315
話,4,7,0.66366,1.37154,VERB,6.81454
啲,5,7,1.37154,1.43047,NOUN,7.20415
蟒蛇,6,7,1.43047,1.88779,NOUN,0
會,7,7,1.88779,2.00258,AUX,6.69827
咬,8,7,2.00258,2.29496,VERB,2.83321
都,9,7,2.29496,2.47999,ADV,7.70931
唔,10,7,2.47999,2.55685,ADV,7.60489
咬,11,7,2.55685,2.79252,VERB,2.83321
咁,12,7,2.79252,3.53332,ADV,6.1334
將,13,7,3.53332,3.68546,ADJ,3.17805
獵物,14,7,3.68546,3.95393,NOUN,0
成隻,15,7,3.95393,4.42613,ADJ,0
鑒生,16,7,4.42613,4.88511,NOUN,0
吞,17,7,4.88511,5.04402,VERB,0
落,18,7,5.04402,5.23006,VERB,3.97029
肚,19,7,5.23006,19.446,NOUN,1.09861
蟒蛇,1,8,0.04927,0.10657,NOUN,0
之後,2,8,0.40698,0.40698,ADV,4.62497
會,3,8,0.08285,0.08285,AUX,6.69827
飽,4,8,0.85658,0.85658,ADJ,1.79176
到,5,8,1.10084,1.10084,PART,6.7546
想,6,8,1.43014,1.43014,AUX,5.44674
喐,7,8,1.70217,1.70217,VERB,0
都,8,8,2.07248,2.07248,ADV,7.70931
喐,9,8,2.23748,2.23748,VERB,0
唔,10,8,2.35168,2.35168,ADV,7.60489
到,11,8,2.58105,2.58105,PART,6.7546
然後,1,8,0.10657,22.346,CCONJ,3.04452
足足,2,9,0.36467,0.81939,ADJ,0
瞓,3,9,0.81939,0.98135,VERB,2.83321
成,4,9,0.98135,1.22657,NUM,5.0689
六,5,9,1.22657,1.50942,NUM,3.63759
個,6,9,1.50942,1.67233,NOUN,7.29912
月,7,9,1.67233,24.249,NOUN,4.38203
先至,1,10,0.06555,0.42978,ADV,3.58352
消化,2,10,0.42978,0.73954,VERB,0
得,3,10,0.73954,0.87254,PART,6.2672
嗮,4,10,0.87254,1.22551,NOUN,0
肚,5,10,1.22551,1.36881,NOUN,1.09861
裡邊,6,10,1.36881,1.58356,ADV,0
嘅,7,10,1.58356,1.65139,PART,7.47647
食物,8,10,1.65139,26.283,NOUN,0
嗰,1,11,0.07258,0.16957,PRON,6.05444
時,2,11,0.16957,0.334,NOUN,0
開始,3,11,0.334,0.79411,VERB,4.04305
我,4,11,0.79411,1.25421,PRON,7.92154
就,5,11,1.25421,1.34651,ADV,7.50824
成日,6,11,1.34651,1.60831,ADV,5.09987
都,7,11,1.60831,1.71285,ADV,7.70931
幻想,8,11,1.71285,2.16452,VERB,0
森林,9,11,2.16452,2.50459,PROPN,0
裡邊,10,11,2.50459,2.66837,ADV,0
嘅,11,11,2.66837,2.83215,PART,7.47647
奇遇,12,11,2.83215,29.779,NOUN,0
仲,1,12,0.04865,0.23178,ADV,0.69315
成功,2,12,0.23178,1.26413,ADJ,2.19722
用,3,12,1.26413,1.36574,VERB,4.74493
木,4,12,1.36574,1.58243,VERB,1.38629
顏色,5,12,1.58243,2.07768,NOUN,0.69315
畫,6,12,2.07768,2.20597,ADJ,0.69315
咗,7,12,2.20597,2.32472,PART,6.72863
我,8,12,2.32472,2.44348,PRON,7.92154
人生,9,12,2.44348,2.87476,NOUN,1.38629
第一,10,12,2.87476,3.07073,NUM,3.98898
幅,11,12,3.07073,3.29625,NOUN,1.38629
畫,12,12,3.29625,33.355,NOUN,0.69315
我,1,13,1.73623,0.1762,PRON,7.92154
叫,2,13,0.1762,0.31048,VERB,4.77068
佢,3,13,0.31048,0.39484,PRON,7.72312
做,4,13,0.39484,0.5868,VERB,6.42325
大作一號,5,13,0.5868,34.765,NOUN,0
幅,1,14,0.07467,0.22633,PROPN,1.38629
畫,2,14,0.22633,0.35338,NOUN,0.69315
係,3,14,0.35338,0.48165,VERB,8.52119
咁樣,4,14,0.48165,0.85561,PRON,0
嘅,5,14,0.85561,35.814,PART,7.47647
我,1,15,0.52799,0.20036,PRON,7.92154
攞,2,15,0.20036,0.31497,VERB,4.80402
咗,3,15,0.31497,0.41679,PART,6.72863
尼,4,15,0.41679,0.5208,PROPN,0
幅,5,15,0.5208,0.7029,NOUN,1.38629
傑作,6,15,0.7029,1.02404,NOUN,0
畀,7,15,1.02404,1.11652,ADJ,0
啲,8,15,1.11652,1.21053,PART,7.20415
大人,9,15,1.21053,1.55738,NOUN,1.38629
睇,10,15,1.55738,37.757,VERB,6.31716
仲,1,16,0.08631,0.20897,NOUN,0.69315
問,2,16,0.20897,0.42015,VERB,5.03695
佢哋,3,16,0.42015,0.59235,PRON,5.63479
我,4,16,0.59235,0.76454,PRON,7.92154
幅,5,16,0.76454,0.88631,VERB,1.38629
畫,6,16,0.88631,1.15512,NOUN,0.69315
有,7,16,1.15512,1.26352,VERB,7.19744
冇,8,16,1.26352,1.33426,VERB,6.66185
嚇,9,16,1.33426,1.5131,VERB,2.48491
親,10,16,1.5131,1.76296,PART,2.94444
