word	token_id	snt_id	onset	offset	pos	log_freq
六歲	1	1.003	0.049196	0.391085	ADV	0
嗰	2	1.003	0.391085	0.553337	PRON	6.054439346
年	3	1.003	0.553337	1.087135	NOUN	5.192956851
我	4	1.003	1.087135	1.255183	PRON	7.921535632
喺	5	1.003	1.255183	n/a	ADP	6.150602768
一	6	1.003	n/a	1.47457	NUM	7.017506143
本	7	1.003	1.47457	1.6026	NOUN	4.382026635
書	8	1.003	1.6026	n/a	NOUN	3.988984047
入邊	9	1.003	n/a	2.292188	ADV	3.17805383
見	10	1.003	2.292188	2.413153	VERB	5.18178355
過	11	1.003	2.413153	2.529356	PART	5.966146739
幅	12	1.003	2.529356	2.669915	PROPN	1.386294361
好	13	1.003	2.669915	2.891564	ADV	7.526717561
得人驚	14	1.003	2.891564	n/a	ADJ	1.791759469
嘅	15	1.003	n/a	3.363425	PART	7.476472381
圖畫	16	1.003	3.363425	3.92	NOUN	0
嗰	1	1.004	3.97801	n/a	PRON	6.054439346
本	2	1.004	n/a	4.181288	NOUN	4.382026635
書	3	1.004	4.181288	4.404907	NOUN	3.988984047
記載	4	1.004	4.404907	4.623036	VERB	0
真實	5	1.004	4.623036	5.051885	ADJ	1.098612289
故事	6	1.004	5.051885	5.588	NOUN	1.098612289
係	1	1.005	5.622999	5.772838	VERB	8.521185213
關於	2	1.005	5.772838	6.057052	ADP	2.48490665
原始	3	1.005	6.057052	6.460695	ADV	0.693147181
森林	4	1.005	6.460695	6.906049	VERB	0
嘅	5	1.005	6.906049	7.193	PART	7.476472381
幅	1	1.006	7.245823	7.423313	NOUN	1.386294361
圖畫	2	1.006	7.423313	7.684846	NOUN	0
入面	3	1.006	7.684846	7.952595	ADV	0.693147181
有	4	1.006	7.952595	8.100111	VERB	7.197435354
條	5	1.006	8.100111	8.284344	NOUN	4.430816799
蟒蛇	6	1.006	8.284344	9.013107	NOUN	0
張開	7	1.006	9.013107	9.303513	VERB	0
咗	8	1.006	9.303513	9.448461	PART	6.728628613
血盤大口	9	1.006	9.448461	10.477	NOUN	0
吞	1	1.007	10.539637	10.752716	VERB	0
緊	2	1.007	10.752716	10.828032	ADJ	1.386294361
一	3	1.007	10.828032	10.955627	NUM	7.017506143
隻	4	1.007	10.955627	11.091884	NOUN	5.375278408
野獸	5	1.007	11.091884	11.451984	NOUN	0
落	6	1.007	11.451984	11.668235	VERB	3.970291914
肚	7	1.007	11.668235	12.013	VERB	1.098612289
下	1	1.008	12.040969	12.199629	PART	5.976350909
面	2	1.008	12.199629	12.349223	NOUN	2.48490665
就	3	1.008	12.349223	n/a	ADV	7.508238775
係	4	1.008	n/a	12.518659	VERB	8.521185213
尼	5	1.008	12.518659	12.619036	PROPN	0
幅	6	1.008	12.619036	12.789439	NOUN	1.386294361
圖畫	7	1.008	12.789439	13.122125	NOUN	0
嘅	8	1.008	13.122125	13.181325	PART	7.476472381
摹本	9	1.008	13.181325	13.91	NOUN	0
本	1	1.009	13.993396	14.109313	NOUN	4.382026635
書	2	1.009	14.109313	n/a	NOUN	3.988984047
入面	3	1.009	n/a	14.55975	ADV	0.693147181
話	4	1.009	14.55975	15.267627	VERB	6.814542897
啲	5	1.009	15.267627	15.326562	NOUN	7.204149292
蟒蛇	6	1.009	15.326562	15.78388	NOUN	0
會	7	1.009	15.78388	15.898674	AUX	6.698268054
咬	8	1.009	15.898674	16.191047	VERB	2.833213344
都	9	1.009	16.191047	16.376081	ADV	7.709308333
唔	10	1.009	16.376081	16.452939	ADV	7.604894481
咬	11	1.009	16.452939	16.688614	VERB	2.833213344
咁	12	1.009	16.688614	17.429413	ADV	6.133398043
將	13	1.009	17.429413	17.581548	ADJ	3.17805383
獵物	14	1.009	17.581548	17.850018	NOUN	0
