snt_id	snt
1.003	六歲嗰年我喺一本書入邊見過幅好得人驚嘅圖畫
1.004	嗰本書記載真實故事
1.005	係關於原始森林嘅
1.006	幅圖畫入面有條蟒蛇張開咗血盤大口
1.007	吞緊一隻野獸落肚
1.008	下面就係尼幅圖畫嘅摹本
1.009	本書入面話啲蟒蛇會咬都唔咬咁將獵物成隻鑒生吞落肚
1.010	蟒蛇之後會飽到想喐都喐唔到
1.011	然後足足瞓成六個月
1.012	先至消化得嗮肚裡邊嘅食物
1.013	嗰時開始我就成日都幻想森林裡邊嘅奇遇
1.014	仲成功用木顏色畫咗我人生第一幅畫
1.015	我叫佢做大作一號
1.016	幅畫係咁樣嘅
1.017	我攞咗尼幅傑作畀啲大人睇
1.018	仲問佢哋我幅畫有冇嚇親佢哋
1.019	點知佢哋睇完之後竟然好冷淡咁話
1.020	唓一頂帽啫有乜咁得人驚喎
1.021	我幅畫明明都唔係一頂帽
1.022	而係一條大蟒蛇消化緊隻大笨象
1.023	咁我唯有將條蟒蛇肚入邊嘅情況全部畫嗮出嚟
1.024	等佢哋睇得明啲
1.025	佢哋真係要畫公仔畫出腸噶
1.026	我修改完之後
1.027	大作二號就誕生
1.028	啲大人睇完之後就索性勸我無論係蟒蛇嘅裡面定係外面都唔好再畫
1.029	不如畀心機讀吓地理歷史數學文法等等仲好喎
1.030	就係咁六歲嗰年我放棄咗做畫家尼個偉大嘅夢想
1.031	大作一號同埋大作二號嘅失敗實在令到我好洩氣
1.032	尼啲大人自己成日乜都唔明
1.033	係都要啲細路仔解釋尼樣解釋嗰樣
1.034	真係令人好攰
1.035	我唯有揀過另一份職業
1.036	而最後我去咗學揸飛機
1.037	我差唔多飛勻嗮全世界
1.038	冇錯原來地理知識真係好用得著
1.039	我可以一眼就分得開中國同埋亞利桑那州
1.040	如果夜晚飛嗰陣蕩失路地理真係好有用
1.041	就係咁我人生中接觸過好多好認真嘅人
1.042	我喺大人嘅圈子裡邊生活咗好耐好耐
1.043	我曾經好細心咁觀察佢哋
