snt_id	token_id	word
1.003	1	六歲
1.003	2	嗰
1.003	3	年
1.003	4	我
1.003	5	喺
1.003	6	一
1.003	7	本
1.003	8	書
1.003	9	入邊
1.003	10	見
1.003	11	過
1.003	12	幅
1.003	13	好
1.003	14	得人驚
1.003	15	嘅
1.003	16	圖畫
1.004	1	嗰
1.004	2	本
1.004	3	書
1.004	4	記載
1.004	5	真實
1.004	6	故事
1.005	1	係
1.005	2	關於
1.005	3	原始
1.005	4	森林
1.005	5	嘅
1.006	1	幅
1.006	2	圖畫
1.006	3	入面
1.006	4	有
1.006	5	條
1.006	6	蟒蛇
1.006	7	張開
1.006	8	咗
1.006	9	血盤大口
1.007	1	吞
1.007	2	緊
1.007	3	一
1.007	4	隻
1.007	5	野獸
1.007	6	落
1.007	7	肚
1.008	1	下
1.008	2	面
1.008	3	就
1.008	4	係
1.008	5	尼
1.008	6	幅
1.008	7	圖畫
1.008	8	嘅
1.008	9	摹本
1.009	1	本
1.009	2	書
1.009	3	入面
1.009	4	話
1.009	5	啲
1.009	6	蟒蛇
1.009	7	會
1.009	8	咬
1.009	9	都
1.009	10	唔
1.009	11	咬
1.009	12	咁
1.009	13	將
1.009	14	獵物
1.009	15	成隻
1.009	16	鑒生
1.009	17	吞
1.009	18	落
1.009	19	肚
1.010	1	蟒蛇
1.010	2	之後
1.010	3	會
1.010	4	飽
1.010	5	到
1.010	6	想
1.010	7	喐
1.010	8	都
1.010	9	喐
1.010	10	唔
1.010	11	到
1.010	1	然後
1.011	2	足足
1.011	3	瞓
1.011	4	成
1.011	5	六
1.011	6	個
1.011	7	月
1.012	1	先至
1.012	2	消化
1.012	3	得
1.012	4	嗮
1.012	5	肚
1.012	6	裡邊
1.012	7	嘅
1.012	8	食物
1.013	1	嗰
1.013	2	時
1.013	3	開始
1.013	4	我
1.013	5	就
1.013	6	成日
1.013	7	都
1.013	8	幻想
1.013	9	森林
1.013	10	裡邊
1.013	11	嘅
1.013	12	奇遇
1.014	1	仲
1.014	2	成功
1.014	3	用
1.014	4	木
1.014	5	顏色
1.014	6	畫
1.014	7	咗
1.014	8	我
1.014	9	人生
1.014	10	第一
1.014	11	幅
1.014	12	畫
1.015	1	我
1.015	2	叫
1.015	3	佢
1.015	4	做
1.015	5	大作一號
1.016	1	幅
1.016	2	畫
1.016	3	係
1.016	4	咁樣
1.016	5	嘅
1.017	1	我
1.017	2	攞
1.017	3	咗
1.017	4	尼
1.017	5	幅
1.017	6	傑作
1.017	7	畀
1.017	8	啲
1.017	9	大人
1.017	10	睇
1.018	1	仲
1.018	2	問
1.018	3	佢哋
1.018	4	我
1.018	5	幅
1.018	6	畫
1.018	7	有
1.018	8	冇
1.018	9	嚇
1.018	10	親
1.018	11	佢哋
1.019	1	點
1.019	2	知
1.019	3	佢哋
1.019	4	睇
1.019	5	完
1.019	6	之後
1.019	7	竟然
1.019	8	好
1.019	9	冷淡
1.019	10	咁
1.019	11	話
1.020	1	唓
1.020	2	一
1.020	3	頂
1.020	4	帽
1.020	5	啫
1.020	6	有
1.020	7	乜
1.020	8	咁
1.020	9	得人驚
1.020	10	喎
1.021	1	我
1.021	2	幅
1.021	3	畫
1.021	4	明明
1.021	5	都
1.021	6	唔
1.021	7	係
1.021	8	一
1.021	9	頂
1.021	10	帽
1.022	1	而
1.022	2	係
1.022	3	一
1.022	4	條
1.022	5	大
1.022	6	蟒蛇
1.022	7	消化
1.022	8	緊
1.022	9	隻
1.022	10	大笨象
1.023	1	咁
1.023	2	我
1.023	3	唯有
1.023	4	將
1.023	5	條
1.023	6	蟒蛇
1.023	7	肚
1.023	8	入邊
1.023	9	嘅
1.023	10	情況
1.023	11	全部
1.023	12	畫
1.023	13	嗮
1.023	14	出嚟
1.024	1	等
1.024	2	佢哋
1.024	3	睇
1.024	4	得
1.024	5	明明
1.024	6	啲
1.025	1	佢哋
1.025	2	真係
1.025	3	要
1.025	4	畫
1.025	5	公仔
1.025	6	畫
1.025	7	出
1.025	8	腸
1.025	9	噶
1.026	1	我
1.026	2	修改
1.026	3	完
